epa_site,n,slope,intercept,r2,comparison
0034,937,1.5392133507184034,-1.0260067620836626,0.5134561213024879,CinC vs EPA FEM
0038,623,0.855134127749365,6.098358824515798,0.00920766627714449,CinC vs EPA FEM
0045,461,1.486417003122139,-1.813452232745023,0.4378513571773151,CinC vs EPA FEM
0060,582,0.4064136502526377,11.216180417916704,7.745750855111054e-4,CinC vs EPA FEM
0065,286,1.2300312005438094,-0.42756586675684466,0.3818259223766369,CinC vs EPA FEM
0073,176,1.525250064015712,0.137460988974376,0.27069028252586264,CinC vs EPA FEM
0034,380,1.3239665188433216,0.29842903405399746,0.43553510833675546,CinC vs EPA FEM on FRM days
0038,250,0.7167905126648749,9.057542405207531,0.00475799572364971,CinC vs EPA FEM on FRM days
0045,186,1.1738674575754242,0.25165759886686156,0.3277698263661385,CinC vs EPA FEM on FRM days
0060,236,0.5832734239473673,7.324636921912723,0.00562051391084331,CinC vs EPA FEM on FRM days
0065,115,0.8566775901405682,2.438378320295996,0.2636364295307097,CinC vs EPA FEM on FRM days
0073,71,1.3879893830681536,1.1843284223091577,0.3169859869347604,CinC vs EPA FEM on FRM days
0034,309,1.1763119344156838,1.0557991069074286,0.3827669959247116,CinC vs EPA FRM
0038,211,1.42345580434793,2.1792117509620708,0.02970170934392327,CinC vs EPA FRM
0045,150,0.7679831084745962,4.591844683604597,0.13859738046905049,CinC vs EPA FRM
0060,189,0.5355168751224293,8.0527719273432,0.00429712476603551,CinC vs EPA FRM
0065,95,0.6260148600931725,4.3160745427843725,0.17533499869067048,CinC vs EPA FRM
0073,58,1.334694235768742,2.0117194029932324,0.29700232719292985,CinC vs EPA FRM
