state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-02,00:00,2024-11-02,05:00,1.5,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-05,00:00,2024-11-05,05:00,4,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-08,00:00,2024-11-08,05:00,5.5,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-11,00:00,2024-11-11,05:00,3.7,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-14,00:00,2024-11-14,05:00,2.3,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-17,00:00,2024-11-17,05:00,5.6,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-20,00:00,2024-11-20,05:00,NA,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,AJ - Filter Damage.,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-23,00:00,2024-11-23,05:00,1.2,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-26,00:00,2024-11-26,05:00,NA,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,AV - Power Failure.,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
39,035,0045,88101,1,41.471782,-81.656792,NAD83,PM2.5 - Local Conditions,2024-11-28,00:00,2024-11-28,05:00,1.8,Micrograms/cubic meter (LC),105,24 HOUR,7,EVERY 3RD DAY,2,NA,NA,FRM,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,145,Ohio,Cuyahoga,2025-01-07,17460
